,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
b_SM_TT_constant_14_2,-1.0777006621903749,0.0,1.272785497775872,-0.8467260697687097,0.3971478242549886
b_SM_TT_constant_14_20,-3.5005699085878765,0.0,2.8673356142094883,-1.2208441492653688,0.22214503422251064
b_SM_TT_constant_14_21,-3.85411185902232,0.0,2.8784178381777603,-1.338968862652075,0.18058080975308854
b_SM_TT_constant_14_22,-3.6579726873610787,0.0,3.040803878785461,-1.2029623853354605,0.22899087680594454
b_SM_TT_constant_14_23,-4.166089595835322,0.0,2.878581542100187,-1.4472716978501088,0.14782084259883876
b_SM_TT_constant_14_24,-3.9614132236069564,0.0,2.8793337598453985,-1.3758089731909573,0.16888078263230444
b_SM_TT_constant_14_25,-4.4539390077943315,0.0,2.935345372637041,-1.5173475153259475,0.12917896759401337
b_SM_TT_constant_14_26,-4.627540745147974,0.0,2.8801182564792116,-1.6067190070191395,0.10811602220027172
b_SM_TT_constant_14_27,-5.212799416822571,0.0,2.9198194537468924,-1.785315667423609,0.07421012895892543
b_SM_TT_constant_14_28,-5.027692290104922,0.0,2.891622004826576,-1.7387100671225029,0.08208577435102193
b_SM_TT_constant_14_29,-5.656564932542763,0.0,2.9599205808286326,-1.9110529414810187,0.0559977777522529
b_SM_TT_constant_14_3,-1.0100296033155607,0.0,1.5593936362240808,-0.6477066340742859,0.5171747126130364
b_SM_TT_constant_14_4,-1.1374873996711683,0.0,2.045801020649563,-0.556010769468677,0.5782034926165325
b_SM_TT_constant_14_5,-1.1507056194227365,0.0,2.150318947196275,-0.5351325304197784,0.5925582168230537
b_SM_TT_constant_14_6,-1.4964332865079852,0.0,2.140442649861331,-0.6991232802266073,0.4844749908128232
b_SM_TT_constant_14_7,-1.7358735216762882,0.0,2.1419036135348475,-0.810434937738176,0.41769024462282034
b_SM_TT_constant_14_8,-1.8228249149223241,0.0,2.2579427606956823,-0.8072945632867609,0.4194967955419504
b_SM_TT_constant_14_9,-1.7277000648315275,0.0,2.459812975598127,-0.7023704980706595,0.4824481387040578
b_SM_TT_linear_17_0,-2.9406769612782537,0.0,1.7976931348623157e+308,-1.6358058582136593e-308,1.0
